203,1,851404326,2016-12-24 05:12:06,2023-06-15 13:07:01.891838,admin,POLYGON((79.0188397848204 30.662333609591,79.0023963398928 31.4522829501613,81.0350011815037 31.4678601019302,81.0347128356341 30.6774346757413,79.0188397848204 30.662333609591))
204,1,850627099,2016-12-15 05:18:19,2023-06-15 13:07:15.679633,admin,POLYGON((77.5770026964235 30.6431596409912,77.5490218043873 31.4213550814966,79.9023117090965 31.4631600913118,79.9112310234809 30.6837047743119,77.5770026964235 30.6431596409912))
205,1,852009497,2016-12-31 05:18:17,2023-06-15 13:07:30.923894,admin,POLYGON((77.5770026964235 30.6431596409912,77.5490218043873 31.4213550814966,79.8991544491289 31.4631329872213,79.9080994055109 30.6836784873981,77.5770026964235 30.6431596409912))
206,1,850021978,2016-12-08 05:12:58,2023-06-15 13:08:34.073633,admin,POLYGON((78.2741784678748 28.6989396649932,78.2417865465939 29.9100394517359,80.6378002421237 29.9384022946697,80.6420601970835 28.725938083548,78.2741784678748 28.6989396649932))
207,1,851404374,2016-12-24 05:12:54,2023-06-15 13:08:57.416567,admin,POLYGON((78.2803139640567 28.6990632080372,78.2479947297538 29.9101692366073,80.6440172731829 29.9384192311664,80.6482041112483 28.7259542050854,78.2803139640567 28.6990632080372))
208,1,850799181,2016-12-17 05:06:21,2023-06-15 13:09:45.159271,admin,POLYGON((80.1950751762416 29.2455105155027,80.1776797724059 31.3520858543599,81.0349592043188 31.3547161188757,81.0342195773515 29.2479288409632,80.1950751762416 29.2455105155027))
209,1,850021930,2016-12-08 05:12:10,2023-06-15 13:10:58.407345,admin,POLYGON((79.0125805609434 30.6622380041128,78.9960852493166 31.4521843310525,81.0350011815037 31.4678601019302,81.0347128356341 30.6774346757413,79.0125805609434 30.6622380041128))
210,1,851404350,2016-12-24 05:12:30,2023-06-15 13:11:45.408272,admin,POLYGON((78.6583488122165 29.2247217777755,78.6073204268329 31.3486448383908,81.034965215224 31.3709570048745,81.0342186764635 29.2452211504464,78.6583488122165 29.2247217777755))
211,1,850021954,2016-12-08 05:12:34,2023-06-15 13:12:41.206058,admin,POLYGON((78.6490962598566 29.2245594146151,78.597866713091 31.3484681204129,81.0299176058407 31.3709582814307,81.0292788380346 29.2452223232652,78.6490962598566 29.2245594146151))
212,1,850627123,2016-12-15 05:18:43,2023-06-15 13:14:10.93206,admin,POLYGON((77.6255502238432 29.2161698480943,77.5514742296891 31.3543484113148,79.4835188181359 31.391767586551,79.5161550829887 29.2505287623636,77.6255502238432 29.2161698480943))
213,1,852009520,2016-12-31 05:18:40,2023-06-15 13:14:11.128531,admin,POLYGON((77.6255502238432 29.2161698480943,77.5514742296891 31.3543484113148,79.4803644782791 31.3917302344158,79.513068566255 29.2504944660558,77.6255502238432 29.2161698480943))
214,1,849244703,2016-11-29 05:18:23,2023-06-15 13:14:44.947533,admin,POLYGON((77.5770026964235 30.6431596409912,77.5490218043873 31.4213550814966,79.8959971934272 31.4631058053143,79.9049677916648 30.6836521250134,77.5770026964235 30.6431596409912))
215,1,849416785,2016-12-01 05:06:25,2023-06-15 13:14:45.942241,admin,POLYGON((80.1889009774482 29.2454732058334,80.1713721783503 31.3520452750046,81.0349592043188 31.3547161188757,81.0342195773515 29.2479288409632,80.1889009774482 29.2454732058334))
216,1,848639532,2016-11-22 05:12:12,2023-06-15 13:15:44.883718,admin,POLYGON((79.0093954856689 30.6648955571547,78.9929297156595 31.4521349049946,81.0350011815037 31.4678601019302,81.0347138038242 30.680141777234,79.0093954856689 30.6648955571547))
217,1,848639580,2016-11-22 05:13:00,2023-06-15 13:16:58.396629,admin,POLYGON((78.2711107342606 28.6988777893336,78.2386824702291 29.909974449907,80.634691728592 29.9383937164665,80.6389882419017 28.7259299181152,78.2711107342606 28.6988777893336))
218,1,848639556,2016-11-22 05:12:36,2023-06-15 13:19:12.220543,admin,POLYGON((78.6490962598566 29.2245594146151,78.597866713091 31.3484681204129,81.0299176058407 31.3709582814307,81.0292788380346 29.2452223232652,78.6490962598566 29.2245594146151))
219,1,849244727,2016-11-29 05:18:47,2023-06-15 13:19:18.315362,admin,POLYGON((77.6255502238432 29.2161698480943,77.5513754998381 31.3570503100687,79.477166462566 31.3943986474008,79.5099820548848 29.2504600985356,77.6255502238432 29.2161698480943))
220,1,847862303,2016-11-13 05:18:23,2023-06-15 13:21:36.384589,admin,POLYGON((77.5770026964235 30.6431596409912,77.5490218043873 31.4213550814966,79.9023117090965 31.4631600913118,79.9112310234809 30.6837047743119,77.5770026964235 30.6431596409912))
221,1,848034385,2016-11-15 05:06:25,2023-06-15 13:22:37.578076,admin,POLYGON((80.1919880753874 29.2454918962968,80.1745023296119 31.3547721403144,81.0349602057987 31.3574229360673,81.0342195773515 29.2479288409632,80.1919880753874 29.2454918962968))
222,1,847257180,2016-11-06 05:13:00,2023-06-15 13:26:08.242304,admin,POLYGON((78.2772462111437 28.699001471228,78.2448906331059 29.9101043806363,80.6409087569912 29.9384107995697,80.645132153536 28.7259461792047,78.2772462111437 28.699001471228))
223,1,847862327,2016-11-13 05:18:47,2023-06-15 13:26:09.599095,admin,POLYGON((77.6255502238432 29.2161698480943,77.5513754998381 31.3570503100687,79.4834753172031 31.3944734371273,79.5161550829887 29.2505287623636,77.6255502238432 29.2161698480943))
224,1,847257132,2016-11-06 05:12:12,2023-06-15 13:27:36.91868,admin,POLYGON((79.0157101691395 30.6622858445006,78.9992407907318 31.4522336794417,81.0350011815037 31.4678601019302,81.0347128356341 30.6774346757413,79.0157101691395 30.6622858445006))
